WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Errani S.,Parmentier P.,69,57,436,502,6,1,6,2,,,2,0,Completed,,,2.15,1.65,,,2.45,1.645,2.44,1.53
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Erakovic M.,Harkleroad A.,153,67,218,440,7,6,7,5,,,2,0,Completed,2.25,1.61,2.35,1.55,2.375,1.533,2.11,1.826,2.28,1.6
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Rezai A.,Daniilidou E.,90,42,374,710,7,5,6,4,,,2,0,Completed,2.75,1.39,2.92,1.37,2.75,1.4,3.2,1.417,3.14,1.34
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Srebotnik K.,Meusburger Y.,27,65,961,449,6,0,6,1,,,2,0,Completed,1.25,3.75,1.2,4.45,1.25,3.75,1.232,4.91,,
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Kirilenko M.,Zakopalova K.,25,63,963,455,6,4,6,1,,,2,0,Completed,1.16,4.5,1.23,3.89,1.2,4.333,1.25,4.6,1.2,4.35
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,Quarterfinals,3,Paszek T.,Kirilenko M.,41,25,718,963,6,1,6,3,,,2,0,Completed,2.25,1.57,2.35,1.55,2.1,1.667,2.4,1.667,2.34,1.57
1,Auckland,ASB Classic,1/3/2008,4,Outdoor,Hard,Quarterfinals,3,Erakovic M.,Zvonareva V.,153,22,218,1117,6,3,2,6,7,6,2,1,Completed,5.5,1.12,5.2,1.15,,,8.1,1.128,5.85,1.12
1,Auckland,ASB Classic,1/3/2008,4,Outdoor,Hard,Quarterfinals,3,Davenport L.,Errani S.,72,69,430,436,6,3,6,3,,,2,0,Completed,1.06,8,1.07,7.19,1.083,7,1.087,10.5,1.07,8
1,Auckland,ASB Classic,1/3/2008,4,Outdoor,Hard,Quarterfinals,3,Rezai A.,Srebotnik K.,90,27,374,961,6,1,6,3,,,2,0,Completed,3,1.36,2.75,1.42,2.75,1.4,3.45,1.377,2.85,1.4
1,Auckland,ASB Classic,1/4/2008,4,Outdoor,Hard,Semifinals,3,Davenport L.,Paszek T.,72,41,430,718,6,4,6,3,,,2,0,Completed,1.12,5.5,1.15,5.2,1.143,5,1.213,5.3,1.14,5.4
1,Auckland,ASB Classic,1/4/2008,4,Outdoor,Hard,Semifinals,3,Rezai A.,Erakovic M.,90,153,374,218,6,3,7,5,,,2,0,Completed,1.57,2.25,1.7,2.1,1.571,2.25,1.769,2.2,1.67,2.15
1,Auckland,ASB Classic,1/5/2008,4,Outdoor,Hard,The Final,3,Davenport L.,Rezai A.,72,90,430,374,6,2,6,2,,,2,0,Completed,1.11,6.5,1.1,6.25,1.083,7,1.152,7,1.1,6.75
2,Gold Coast,Mondial Australian Women's Hardcourts,12/30/2007,3,Outdoor,Hard,1st Round,3,Dechy N.,Yan Z.,68,58,437,498,6,2,6,2,,,2,0,Completed,1.9,1.8,1.83,1.91,,,2.13,1.813,,
2,Gold Coast,Mondial Australian Women's Hardcourts,12/30/2007,3,Outdoor,Hard,1st Round,3,Azarenka V.,Sugiyama A.,30,38,928,743,6,2,6,3,,,2,0,Completed,1.33,3.25,1.44,2.67,,,1.37,3.5,,
2,Gold Coast,Mondial Australian Women's Hardcourts,12/30/2007,3,Outdoor,Hard,1st Round,3,Peer S.,Ditty J.,17,101,1675,342,3,6,6,0,6,2,2,1,Completed,1.12,5.5,1.13,5.5,,,1.138,7.56,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Schnyder P.,Kleybanova A.,16,156,1806,216,6,1,6,3,,,2,0,Completed,1.12,5.5,1.1,6.75,,,1.138,7.56,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Garbin T.,Petrova N.,36,14,786,1862,5,7,7,5,6,3,2,1,Completed,5.5,1.12,5.2,1.15,,,6.95,1.153,5.1,1.15
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Fedak Y.,Szavay A.,123,20,285,1318,3,6,7,5,6,2,2,1,Completed,4.5,1.16,5.2,1.15,,,,,4.8,1.17
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Safina D.,Gajdosova J.,15,142,1830,242,4,6,6,1,6,2,2,1,Completed,1.08,7,1.1,6.75,,,1.091,10,1.13,5.6
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Schiavone F.,Shaughnessy M.,24,52,1046,541,6,0,1,0,,,1,0,Retired,1.44,2.62,1.4,2.8,,,1.435,3.1,,
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2007,3,Outdoor,Hard,1st Round,3,Mauresmo A.,Savchuk O.,18,92,1538,372,6,1,6,1,,,2,0,Completed,1.1,6.5,1.1,6.75,,,1.091,10,1.11,6.2
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Schruff J.,Dominguez Lino L.,119,71,295,433,6,2,6,1,,,2,0,Completed,1.4,2.75,1.35,3.1,,,1.485,2.86,1.35,3
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Li N.,Bammer S.,29,19,937,1323,6,4,4,6,6,4,2,1,Completed,2.5,1.5,2.46,1.51,,,2.62,1.581,2.36,1.56
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Cibulkova D.,Razzano V.,51,28,559,956,6,2,6,2,,,2,0,Completed,3.25,1.33,2.75,1.4,,,3.38,1.388,,
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Pennetta F.,Bacsinszky T.,39,122,737,287,6,4,6,1,,,2,0,Completed,1.22,4,1.2,4.25,,,1.286,4.2,,
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Malek T.,Nakamura A.,89,66,376,445,7,5,6,3,,,2,0,Completed,1.8,1.9,1.8,1.95,,,1.877,2.04,1.88,1.88
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Vaidisova N.,Dellacqua C.,12,86,1942,380,5,7,7,5,6,0,2,1,Completed,1.08,7,1.07,7.19,,,1.1,9,1.12,5.85
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,1st Round,3,Azarenka V.,Fedak Y.,30,123,928,285,6,4,6,2,,,2,0,Completed,1.25,3.75,1.17,4.67,,,1.189,5.8,1.18,4.6
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2008,3,Outdoor,Hard,2nd Round,3,Adamczak M.,Vesnina E.,158,54,214,524,7,6,3,6,7,5,2,1,Completed,3.75,1.25,3.75,1.25,,,3.8,1.323,3.65,1.26
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Peer S.,Schruff J.,17,119,1675,295,6,0,,,,,1,0,Retired,1.14,5,1.15,5.2,,,1.163,6.55,1.18,4.6
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Safina D.,Pennetta F.,15,39,1830,737,6,4,2,6,6,4,2,1,Completed,1.4,2.75,1.4,2.75,,,1.505,2.83,1.5,2.5
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Schnyder P.,Schiavone F.,16,24,1806,1046,2,6,6,3,6,4,2,1,Completed,1.36,3,1.32,3.22,,,1.327,3.76,1.33,3.2
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Mauresmo A.,Dechy N.,18,68,1538,437,6,3,6,4,,,2,0,Completed,1.12,5.5,1.13,5.5,,,1.143,7.3,1.15,5.15
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Li N.,Adamczak M.,29,158,937,214,6,3,6,2,,,2,0,Completed,1.16,4.5,1.13,5.5,,,1.125,8.2,1.17,4.8
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Vaidisova N.,Malek T.,12,89,1942,376,6,4,6,2,,,2,0,Completed,1.07,7.5,1.15,5.2,,,1.118,8.64,1.1,6.75
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2008,3,Outdoor,Hard,2nd Round,3,Cibulkova D.,Garbin T.,51,36,559,786,7,5,6,1,,,2,0,Completed,1.8,1.9,1.91,1.83,,,1.99,1.917,1.74,2.04
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2008,3,Outdoor,Hard,Quarterfinals,3,Peer S.,Safina D.,17,15,1675,1830,4,6,6,1,7,6,2,1,Completed,1.9,1.8,1.95,1.8,,,1.901,2.01,1.88,1.88
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2008,3,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Cibulkova D.,30,51,928,559,6,1,3,6,6,3,2,1,Completed,1.25,3.75,1.3,3.35,,,1.333,3.7,1.26,3.7
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2008,3,Outdoor,Hard,Quarterfinals,3,Li N.,Vaidisova N.,29,12,937,1942,6,3,6,3,,,2,0,Completed,3,1.36,2.85,1.4,,,2.65,1.571,2.85,1.4
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2008,3,Outdoor,Hard,Quarterfinals,3,Schnyder P.,Mauresmo A.,16,18,1806,1538,6,4,6,4,,,2,0,Completed,2.75,1.4,2.85,1.4,,,3.25,1.408,2.76,1.43
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2008,3,Outdoor,Hard,Semifinals,3,Li N.,Schnyder P.,29,16,937,1806,3,6,6,3,7,5,2,1,Completed,2.25,1.57,2.15,1.65,,,2.3,1.714,2.15,1.67
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2008,3,Outdoor,Hard,Semifinals,3,Azarenka V.,Peer S.,30,17,928,1675,6,4,6,2,,,2,0,Completed,2.2,1.61,2.1,1.7,,,2.3,1.714,2.15,1.67
2,Gold Coast,Mondial Australian Women's Hardcourts,1/5/2008,3,Outdoor,Hard,The Final,3,Li N.,Azarenka V.,29,30,937,928,4,6,6,3,6,4,2,1,Completed,2,1.72,1.83,1.91,,,2,1.909,1.86,1.9
3,Hobart,Moorilla Hobart International,1/6/2008,4,Outdoor,Hard,1st Round,3,Vesnina E.,Morigami A.,60,48,490,588,6,4,7,5,,,2,0,Completed,,,1.95,1.8,1.909,1.8,2.24,1.746,,
3,Hobart,Moorilla Hobart International,1/6/2008,4,Outdoor,Hard,1st Round,3,Daniilidou E.,Parmentier P.,42,55,700,513,6,3,6,4,,,2,0,Completed,,,1.45,2.6,1.4,2.75,1.424,3.16,,
3,Hobart,Moorilla Hobart International,1/6/2008,4,Outdoor,Hard,1st Round,3,Dellacqua C.,Medina Garrigues A.,85,34,380,840,5,4,,,,,0,0,Retired,1.83,1.83,2.12,1.67,2,1.727,1.909,2,,
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Lapushchenkova A.,Bondarenko K.,144,43,238,643,6,3,6,4,,,2,0,Completed,3.5,1.28,4.25,1.2,,,,,3.8,1.25
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Llagostera Vives N.,Dulko G.,146,36,234,770,6,3,2,1,,,1,0,Retired,3.75,1.25,4.67,1.17,,,4.5,1.263,4.35,1.2
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Pennetta F.,Radwanska A.,39,29,742,962,6,4,1,6,6,2,2,1,Completed,2.1,1.66,2.15,1.65,2.25,1.571,2.3,1.714,2.1,1.7
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Kudryavtseva A.,Adamczak M.,77,148,400,231,6,3,6,2,,,2,0,Completed,1.83,1.83,1.83,1.91,2,1.727,2,1.909,1.92,1.84
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Tu M.,Loit E.,46,44,607,630,4,6,6,1,6,4,2,1,Completed,1.72,2,1.8,1.95,1.727,2,1.87,2.05,1.73,2.06
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Mirza S.,Dominguez Lino L.,31,72,921,433,6,4,6,0,,,2,0,Completed,1.25,3.75,1.25,3.75,1.286,3.5,1.292,4.12,1.28,3.55
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Harkleroad A.,Shvedova Y.,66,83,454,383,6,4,6,3,,,2,0,Completed,1.44,2.62,1.4,2.8,1.4,2.75,1.429,3.13,1.43,2.75
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Gallovits E.,Brianti A.,84,156,382,217,6,2,6,3,,,2,0,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.412,3.23,,
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Dokic J.,Muller M.,N/A,54,N/A,540,6,4,0,6,6,2,2,1,Completed,1.5,2.5,1.45,2.6,1.444,2.625,1.481,2.88,1.5,2.52
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Govortsova O.,Azarenka V.,47,26,592,1027,1,3,,,,,0,0,Retired,3.75,1.25,3.89,1.23,3.75,1.25,4.6,1.25,3.8,1.25
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Olaru I.,Peng S.,59,45,497,619,3,6,6,4,7,5,2,1,Completed,2.62,1.44,2.85,1.4,,,3.55,1.364,2.75,1.43
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Bondarenko A.,Moore J.,21,376,1171,55,7,5,6,2,,,2,0,Completed,1.12,5.5,1.07,7.19,1.1,6.5,1.091,10,1.1,6.75
3,Hobart,Moorilla Hobart International,1/7/2008,4,Outdoor,Hard,1st Round,3,Zvonareva V.,Poutchkova O.,23,92,1067,367,6,3,6,0,,,2,0,Completed,1.16,4.5,1.17,4.67,1.167,4.5,1.177,6.15,1.13,5.6
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Mirza S.,Kudryavtseva A.,31,77,921,400,6,3,6,4,,,2,0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.25,4.6,1.23,4
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Vesnina E.,Llagostera Vives N.,60,146,490,234,6,3,6,2,,,2,0,Completed,1.44,2.62,1.55,2.35,1.44,2.62,1.568,2.66,1.45,2.65
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Dellacqua C.,Lapushchenkova A.,85,144,380,238,6,4,4,6,6,1,2,1,Completed,1.44,2.62,1.45,2.6,1.5,2.5,1.452,3.01,1.45,2.68
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Gallovits E.,Govortsova O.,84,47,382,592,6,3,6,2,,,2,0,Completed,1.9,1.8,2.03,1.73,2,1.727,2.05,1.87,1.96,1.8
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Daniilidou E.,Bondarenko A.,42,21,700,1171,6,3,6,3,,,2,0,Completed,2.25,1.57,2.3,1.6,2.25,1.571,2.26,1.735,2.18,1.65
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Harkleroad A.,Tu M.,66,46,454,607,7,6,2,6,6,1,2,1,Completed,1.61,2.2,1.6,2.25,1.667,2.1,1.68,2.37,1.55,2.38
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Olaru I.,23,59,1067,497,6,3,6,2,,,2,0,Completed,1.14,5,1.15,5.2,1.167,4.5,1.182,6,1.17,4.8
3,Hobart,Moorilla Hobart International,1/8/2008,4,Outdoor,Hard,2nd Round,3,Pennetta F.,Dokic J.,39,N/A,742,N/A,5,0,,,,,0,0,Retired,1.3,3.4,1.3,3.35,1.286,3.5,1.318,3.84,1.3,3.4
3,Hobart,Moorilla Hobart International,1/9/2008,4,Outdoor,Hard,Quarterfinals,3,Harkleroad A.,Gallovits E.,66,84,454,382,6,4,6,4,,,2,0,Completed,1.72,2,1.8,1.95,1.667,2.1,1.758,2.22,1.73,2.06
3,Hobart,Moorilla Hobart International,1/9/2008,4,Outdoor,Hard,Quarterfinals,3,Pennetta F.,Mirza S.,39,31,742,921,7,5,1,6,6,3,2,1,Completed,1.72,2,1.78,1.96,1.833,1.833,1.758,2.22,1.8,1.97
3,Hobart,Moorilla Hobart International,1/9/2008,4,Outdoor,Hard,Quarterfinals,3,Zvonareva V.,Vesnina E.,23,60,1067,490,6,3,6,3,,,2,0,Completed,1.22,4,1.23,3.89,1.25,3.75,1.235,4.85,1.2,4.3
3,Hobart,Moorilla Hobart International,1/9/2008,4,Outdoor,Hard,Quarterfinals,3,Daniilidou E.,Dellacqua C.,42,85,700,380,6,4,7,5,,,2,0,Completed,1.33,3.25,1.4,2.85,1.333,3.25,1.395,3.33,1.38,2.95
3,Hobart,Moorilla Hobart International,1/10/2008,4,Outdoor,Hard,Semifinals,3,Daniilidou E.,Pennetta F.,42,39,700,742,6,4,6,3,,,2,0,Completed,2.2,1.61,2.25,1.6,2.25,1.571,2.4,1.667,2.28,1.6
3,Hobart,Moorilla Hobart International,1/10/2008,4,Outdoor,Hard,Semifinals,3,Zvonareva V.,Harkleroad A.,23,66,1067,454,6,2,6,1,,,2,0,Completed,1.22,4,1.25,3.75,1.222,4,1.286,4.2,1.25,3.8
3,Hobart,Moorilla Hobart International,1/11/2008,4,Outdoor,Hard,The Final,3,Daniilidou E.,Zvonareva V.,42,23,700,1067,,,,,,,,,Walkover,3.25,1.33,2.85,1.4,2.75,1.4,3.45,1.377,3.1,1.35
4,Sydney,Medibank International,1/6/2008,2,Outdoor,Hard,1st Round,3,Safarova L.,Molik A.,22,57,1112,505,7,6,7,6,,,2,0,Completed,,,1.7,2.1,1.8,1.909,1.901,2.01,1.88,1.88
4,Sydney,Medibank International,1/6/2008,2,Outdoor,Hard,1st Round,3,Razzano V.,Pratt N.,30,75,934,414,6,2,6,1,,,2,0,Completed,1.25,3.75,1.32,3.22,1.333,3.25,1.282,4.25,1.33,3.2
4,Sydney,Medibank International,1/6/2008,2,Outdoor,Hard,1st Round,3,Bammer S.,Petrova N.,19,14,1323,1862,7,5,6,3,,,2,0,Completed,2.25,1.57,2.15,1.65,2,1.727,2.43,1.654,2.1,1.7
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Srebotnik K.,Chakvetadze A.,28,6,971,2935,7,5,6,1,,,2,0,Completed,3.75,1.25,4.06,1.21,3.75,1.25,3.82,1.321,3.7,1.26
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Hantuchova D.,Safina D.,9,16,2367,1750,5,7,6,4,6,4,2,1,Completed,1.72,2,1.7,2.1,1.667,2.1,1.926,1.98,1.78,2
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Schiavone F.,Craybas J.,25,100,1051,343,6,4,6,4,,,2,0,Completed,1.25,3.75,1.28,3.46,1.286,3.5,1.313,3.9,1.3,3.4
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Kanepi K.,Cibulkova D.,73,49,421,584,3,6,6,1,7,6,2,1,Completed,2.37,1.53,2.6,1.45,2.625,1.444,2.69,1.559,2.45,1.52
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Golovin T.,Obziler T.,13,79,1882,390,6,2,6,3,,,2,0,Completed,,,,,,,,,,
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Peer S.,Fedak Y.,17,119,1675,297,6,3,6,2,,,2,0,Completed,1.12,5.5,1.11,5.84,1.167,4.5,1.167,6.4,1.15,5.15
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Bartoli M.,Knapp K.,10,51,2191,573,6,1,6,0,,,2,0,Completed,1.25,3.75,1.2,4.45,1.222,4,1.278,4.3,1.2,4.3
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Arvidsson S.,Dementieva E.,97,11,353,1985,6,1,7,5,,,2,0,Completed,5.5,1.12,6.75,1.1,5,1.143,6.95,1.153,6.2,1.12
4,Sydney,Medibank International,1/7/2008,2,Outdoor,Hard,1st Round,3,Vaidisova N.,Pin C.,12,89,1977,372,6,1,2,6,6,2,2,1,Completed,1.12,5.5,1.13,5.5,1.167,4.5,1.196,5.59,1.15,5.15
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Srebotnik K.,Bammer S.,28,19,971,1323,4,6,6,1,6,2,2,1,Completed,2.25,1.57,2.35,1.55,2.2,1.615,2.43,1.654,2.28,1.6
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Kanepi K.,Arvidsson S.,73,97,421,353,3,6,6,3,6,3,2,1,Completed,2,1.72,2.03,1.73,1.909,1.8,2.12,1.82,2.22,1.63
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Ivanovic A.,Razzano V.,4,30,3461,934,6,1,2,6,7,5,2,1,Completed,1.33,3,1.3,3.35,1.222,3.75,1.375,3.47,1.35,3.1
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Schiavone F.,Bartoli M.,25,10,1051,2191,2,6,6,3,6,2,2,1,Completed,2.62,1.44,2.45,1.5,2.375,1.533,2.93,1.469,2.58,1.48
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Henin J.,Safarova L.,1,22,6155,1112,,,,,,,,,Walkover,1.05,8.5,1.07,7.19,1.071,7.5,1.088,10.42,1.06,8.6
4,Sydney,Medibank International,1/8/2008,2,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Peer S.,2,17,3725,1675,6,3,6,4,,,2,0,Completed,1.57,2.25,1.55,2.35,1.533,2.375,1.685,2.36,1.55,2.38
