WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
1,Auckland,ASB Classic,1/5/2009,International,Outdoor,Hard,1st Round,3,Morita A.,Domachowska M.,83,63,784,998,6,4,4,6,6,4,2,1,Completed,1.83,1.83,1.8,1.95,1.83,1.83,1.91,1.8,1.77,2
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,1st Round,3,Erakovic M.,Llagostera Vives N.,69,65,898,968,7,5,6,4,,,2,0,Completed,1.9,1.8,1.85,1.9,1.833,1.833,1.8,1.909,2,1.78
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,1st Round,3,Keothavong A.,Lucic M.,60,435,1020,92,6,4,6,2,,,2,0,Completed,1.36,3,1.37,2.92,1.4,2.75,1.364,2.875,1.34,3.15
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Barrois K.,43,89,1232,766,6,3,6,1,,,2,0,Completed,1.36,3,1.35,3.1,1.364,3,1.4,2.75,1.33,3.2
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Vaidisova N.,76,40,850,1360,6,4,6,3,,,2,0,Completed,2.5,1.5,2.28,1.58,2.5,1.5,2.5,1.533,2.5,1.5
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,2nd Round,3,Peer S.,Zahlavova Strycova B.,39,74,1376,866,6,3,4,6,6,2,2,1,Completed,1.4,2.75,1.37,2.92,1.36,3,1.4,2.88,1.43,2.75
1,Auckland,ASB Classic,1/6/2009,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Craybas J.,12,64,3330,974,6,4,7,5,,,2,0,Completed,,,1.1,6.25,1.1,6.5,1.125,6,1.06,8.75
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,2nd Round,3,Rezai A.,Pavlyuchenkova A.,97,43,706,1232,6,2,6,3,,,2,0,Completed,,,2.8,1.4,2.75,1.4,2.75,1.444,2.85,1.4
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,2nd Round,3,Keothavong A.,Suarez Navarro C.,60,46,1020,1170,6,2,6,4,,,2,0,Completed,1.83,1.83,1.9,1.85,1.833,1.833,1.9,1.9,1.8,1.96
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,2nd Round,3,Dementieva E.,Erakovic M.,4,69,7196,898,6,2,6,3,,,2,0,Completed,1.07,7.5,1.1,6.25,1.1,6.5,1.083,7.5,1.1,6.75
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,2nd Round,3,Gallovits E.,Medina Garrigues A.,75,22,864,2172,6,3,6,3,,,2,0,Completed,3.75,1.25,3.35,1.3,3.4,1.3,3.5,1.286,3.6,1.27
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,2nd Round,3,Morita A.,Wozniak A.,83,33,784,1630,7,5,6,2,,,2,0,Completed,2.5,1.5,2.28,1.58,2.25,1.571,2.25,1.571,2.28,1.6
1,Auckland,ASB Classic,1/7/2009,International,Outdoor,Hard,Quarterfinals,3,Rezai A.,Gallovits E.,97,75,706,864,6,3,6,2,,,2,0,Completed,1.8,1.9,1.8,1.95,1.8,1.909,1.909,1.909,1.82,1.94
1,Auckland,ASB Classic,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Dementieva E.,Peer S.,4,39,7196,1376,6,3,6,1,,,2,0,Completed,1.16,4.5,1.18,4.45,1.167,4.5,1.167,5,1.18,4.6
1,Auckland,ASB Classic,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Keothavong A.,Morita A.,60,83,1020,784,6,0,,,,,1,0,Retired,1.8,1.9,1.75,2,1.8,1.909,1.8,1.909,1.77,2
1,Auckland,ASB Classic,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Vesnina E.,Wozniacki C.,76,12,850,3330,6,3,0,6,6,3,2,1,Completed,4.5,1.16,4.67,1.17,5,1.143,5,1.167,5.4,1.14
1,Auckland,ASB Classic,1/8/2009,International,Outdoor,Hard,Semifinals,3,Dementieva E.,Rezai A.,4,97,7196,706,6,2,6,2,,,2,0,Completed,1.1,6.5,1.1,6.25,1.111,6,1.1,6.5,1.1,6.75
1,Auckland,ASB Classic,1/9/2009,International,Outdoor,Hard,Semifinals,3,Vesnina E.,Keothavong A.,76,60,850,1020,6,7,6,1,7,5,2,1,Completed,1.53,2.37,1.55,2.35,1.533,2.375,1.615,2.25,1.54,2.4
1,Auckland,ASB Classic,1/10/2009,International,Outdoor,Hard,The Final,3,Dementieva E.,Vesnina E.,4,76,7196,850,6,4,6,1,,,2,0,Completed,1.1,6.5,1.15,5.2,1.125,5.5,1.143,5.5,1.14,5.5
2,Brisbane,Brisbane International,1/4/2009,International,Outdoor,Hard,1st Round,3,Gajdosova J.,Peng S.,98,38,706,1410,6,4,6,2,,,2,0,Completed,2.75,1.4,2.85,1.39,2.62,1.44,2.75,1.4,2.7,1.44
2,Brisbane,Brisbane International,1/4/2009,International,Outdoor,Hard,1st Round,3,Azarenka V.,Bondarenko K.,16,59,2788,1028,6,0,6,2,,,2,0,Completed,1.16,4.5,1.17,4.67,1.22,4,1.222,3.75,1.18,4.6
2,Brisbane,Brisbane International,1/4/2009,International,Outdoor,Hard,1st Round,3,Bartoli M.,Wejnert M.,17,526,2740,66,6,1,6,2,,,2,0,Completed,1.083,7,1.07,7.19,1.05,8.5,1.05,8,1.07,8
2,Brisbane,Brisbane International,1/4/2009,International,Outdoor,Hard,1st Round,3,Pironkova T.,Niculescu M.,44,47,1216,1166,6,7,6,4,6,4,2,1,Completed,1.66,2.1,1.72,2.05,1.57,2.25,1.571,2.25,1.65,2.18
2,Brisbane,Brisbane International,1/4/2009,International,Outdoor,Hard,1st Round,3,Kleybanova A.,Kanepi K.,32,26,1672,2044,6,1,6,4,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.66,2.2,1.615,2.2,1.62
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Stosur S.,Sugiyama A.,51,29,1160,1870,6,2,6,3,,,2,0,Completed,1.61,2.2,1.65,2.15,1.61,2.2,,,1.64,2.22
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Coin J.,Wickmayer Y.,95,71,720,882,7,5,6,7,7,6,2,1,Completed,2,1.72,,,,,,,2.06,1.72
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Karatantcheva S.,Benesova I.,148,42,428,1340,1,6,6,4,6,2,2,1,Completed,2.1,1.66,,,,,,,2.18,1.65
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Govortsova O.,Schiavone F.,50,30,1160,1838,7,5,6,2,,,2,0,Completed,3,1.36,2.75,1.42,2.62,1.44,2.625,1.444,3.05,1.36
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Vinci R.,Groenefeld A.L.,82,72,806,876,0,6,6,3,6,1,2,1,Completed,2.62,1.44,,,,,,,2.65,1.46
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Errani S.,Hantuchova D.,41,21,1352,2382,6,7,6,4,6,0,2,1,Completed,2.75,1.4,2.85,1.4,2.62,1.44,2.625,1.444,2.6,1.47
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Mauresmo A.,Dokic J.,23,177,2092,350,7,6,7,6,,,2,0,Completed,1.28,3.5,1.3,3.35,1.28,3.5,1.286,3.25,1.3,3.4
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Garbin T.,Arvidsson S.,54,55,1090,1076,6,2,6,3,,,2,0,Completed,2.25,1.57,2.3,1.6,2.2,1.61,2.25,1.571,2.34,1.57
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Czink M.,Bondarenko A.,105,34,654,1626,7,6,6,1,,,2,0,Completed,3,1.36,,,,,,,3,1.37
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Safarova L.,Holland I.,61,581,1010,50,6,4,6,3,,,2,0,Completed,1.1,6.5,1.1,6.25,1.14,5,1.125,5.5,1.1,6.5
2,Brisbane,Brisbane International,1/5/2009,International,Outdoor,Hard,1st Round,3,Ivanovic A.,Kvitova P.,5,48,6912,1164,6,4,6,2,,,2,0,Completed,1.12,5.5,1.1,6.25,1.12,5.5,1.125,5.5,1.14,5.5
2,Brisbane,Brisbane International,1/6/2009,International,Outdoor,Hard,2nd Round,3,Garbin T.,Kleybanova A.,54,32,1090,1672,4,6,6,4,6,2,2,1,Completed,2.87,1.38,2.75,1.42,2.62,1.44,2.625,1.444,2.76,1.42
2,Brisbane,Brisbane International,1/6/2009,International,Outdoor,Hard,2nd Round,3,Azarenka V.,Gajdosova J.,16,98,2788,706,7,6,7,5,,,2,0,Completed,1.14,5,1.17,4.67,1.16,4.5,1.167,5,1.12,6
2,Brisbane,Brisbane International,1/6/2009,International,Outdoor,Hard,2nd Round,3,Bartoli M.,Czink M.,17,105,2740,654,5,7,6,3,6,1,2,1,Completed,1.16,4.5,1.2,4.25,1.22,4,1.222,4,1.18,4.6
2,Brisbane,Brisbane International,1/6/2009,International,Outdoor,Hard,2nd Round,3,Safarova L.,Stosur S.,61,51,1010,1160,6,4,6,4,,,2,0,Completed,2.62,1.44,2.3,1.6,2.25,1.571,2.5,1.533,2.38,1.55
2,Brisbane,Brisbane International,1/7/2009,International,Outdoor,Hard,2nd Round,3,Errani S.,Pironkova T.,41,44,1352,1216,6,7,7,5,6,3,2,1,Completed,1.66,2.1,1.65,2.15,1.72,2,1.667,2.2,1.67,2.15
2,Brisbane,Brisbane International,1/7/2009,International,Outdoor,Hard,2nd Round,3,Mauresmo A.,Coin J.,23,95,2092,720,5,7,6,2,7,6,2,1,Completed,1.25,3.75,1.25,3.75,1.222,4,1.222,4,1.28,3.55
2,Brisbane,Brisbane International,1/7/2009,International,Outdoor,Hard,2nd Round,3,Govortsova O.,Karatantcheva S.,50,148,1160,428,6,0,5,7,7,5,2,1,Completed,1.5,2.5,1.55,2.35,1.444,2.625,1.5,2.6,1.5,2.52
2,Brisbane,Brisbane International,1/7/2009,International,Outdoor,Hard,2nd Round,3,Ivanovic A.,Vinci R.,5,82,6912,806,6,7,7,5,6,1,2,1,Completed,1.03,11,1.04,9.25,1.063,8,1.071,8,1.06,8.55
2,Brisbane,Brisbane International,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Safarova L.,16,61,2788,1010,7,6,6,4,,,2,0,Completed,1.33,3.25,1.35,3.1,1.3,3.4,1.333,3.25,1.33,3.2
2,Brisbane,Brisbane International,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Errani S.,Govortsova O.,41,50,1352,1160,6,3,6,3,,,2,0,Completed,1.66,2.1,1.7,2.1,1.72,2,1.727,2,1.7,2.1
2,Brisbane,Brisbane International,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Mauresmo A.,Ivanovic A.,23,5,2092,6912,6,3,6,2,,,2,0,Completed,3.5,1.28,3.35,1.3,3.4,1.3,3.2,1.333,3.4,1.3
2,Brisbane,Brisbane International,1/8/2009,International,Outdoor,Hard,Quarterfinals,3,Bartoli M.,Garbin T.,17,54,2740,1090,6,3,6,3,,,2,0,Completed,1.28,3.5,1.25,3.74,1.25,3.75,1.25,3.75,1.24,3.9
2,Brisbane,Brisbane International,1/9/2009,International,Outdoor,Hard,Semifinals,3,Azarenka V.,Errani S.,16,41,2788,1352,6,3,6,1,,,2,0,Completed,1.3,3.4,1.28,3.46,1.33,3.25,1.333,3.2,1.24,3.9
2,Brisbane,Brisbane International,1/9/2009,International,Outdoor,Hard,Semifinals,3,Bartoli M.,Mauresmo A.,17,23,2740,2092,4,0,,,,,0,0,Retired,2.1,1.66,2.1,1.7,2.1,1.667,2.2,1.667,2.1,1.7
2,Brisbane,Brisbane International,1/10/2009,International,Outdoor,Hard,The Final,3,Azarenka V.,Bartoli M.,16,17,2788,2740,6,3,6,1,,,2,0,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.5,2.625,1.48,2.56
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Bondarenko A.,Niculescu M.,34,48,1626,1166,6,4,2,6,6,2,2,1,Completed,1.53,2.37,1.58,2.29,1.533,2.375,,,1.63,2.2
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Benesova I.,Tanasugarn T.,41,35,1340,1508,7,5,7,5,,,2,0,Completed,1.8,1.9,1.7,2.1,1.8,1.909,,,1.75,2.03
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Rybarikova M.,Bondarenko K.,57,58,1058,1028,4,6,7,6,6,1,2,1,Completed,1.66,2.1,1.65,2.15,1.8,1.909,,,1.78,2
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Kvitova P.,Peers S.,49,468,1164,82,6,0,6,0,,,2,0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,,,1.12,6
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Pironkova T.,Schnyder P.,43,15,1216,3050,6,2,6,4,,,2,0,Completed,3,1.36,2.8,1.4,3,1.364,,,2.85,1.4
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Radwanska U.,Wozniak A.,127,33,514,1652,3,6,7,6,7,5,2,1,Completed,2.5,1.5,2.45,1.5,2.75,1.4,2.5,1.5,2.6,1.47
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Rogowska O.,42,367,1260,120,6,3,6,1,,,2,0,Completed,1.07,7.5,1.05,8.5,1.1,6.5,1.083,7.5,1.06,8.5
3,Hobart,Moorilla Hobart International,1/11/2009,International,Outdoor,Hard,1st Round,3,Razzano V.,Camerin M.E.,62,102,996,664,6,1,6,2,,,2,0,Completed,1.57,2.25,1.65,2.15,1.615,2.2,1.533,2.375,1.6,2.28
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Zheng J.,Erakovic M.,24,68,2078,926,6,1,4,6,6,1,2,1,Completed,1.44,2.62,1.4,2.85,1.4,2.75,1.5,2.625,1.42,2.8
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Czink M.,Garbin T.,100,52,690,1140,6,2,1,6,7,5,2,1,Completed,1.83,1.83,1.8,1.95,1.833,1.833,2,1.727,1.85,1.92
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Govortsova O.,Moore J.,45,136,1190,467,6,0,6,3,,,2,0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.167,4.5,1.2,4.3
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Keothavong A.,Szavay A.,53,25,1130,2058,6,3,7,5,,,2,0,Completed,1.83,1.83,1.85,1.85,1.909,1.8,1.833,1.833,1.8,1.95
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Santangelo M.,Vaidisova N.,131,51,494,1140,6,1,6,1,,,2,0,Completed,3,1.36,3.1,1.35,3,1.364,3,1.364,3,1.37
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Chakvetadze A.,44,18,1198,2724,7,6,1,6,7,5,2,1,Completed,3.5,1.28,3.35,1.3,3.5,1.286,3.5,1.25,3.4,1.3
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Dulko G.,Voegele S.,50,126,1162,516,6,2,6,3,,,2,0,Completed,1.4,2.75,1.45,2.65,1.444,2.625,1.444,2.625,1.46,2.65
3,Hobart,Moorilla Hobart International,1/12/2009,International,Outdoor,Hard,1st Round,3,Pennetta F.,Peer S.,13,40,3240,1376,6,2,7,6,,,2,0,Completed,1.36,3,1.42,2.75,1.444,2.625,1.444,2.75,1.44,2.7
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Suarez Navarro C.,42,44,1260,1198,6,4,6,1,,,2,0,Completed,1.38,2.87,1.4,2.85,1.364,3,1.4,2.75,1.43,2.75
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Dulko G.,Zheng J.,50,24,1162,2078,6,3,6,3,,,2,0,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.25,1.571,2.46,1.52
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Razzano V.,Keothavong A.,62,53,996,1130,4,6,6,0,7,5,2,1,Completed,1.83,1.83,1.87,1.87,1.909,1.8,1.8,1.909,1.88,1.88
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Benesova I.,Santangelo M.,41,131,1340,494,6,3,6,1,,,2,0,Completed,1.66,2.1,1.7,2.05,1.667,2.1,1.667,2.1,1.68,2.13
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Kvitova P.,Bondarenko A.,49,34,1164,1626,6,2,6,1,,,2,0,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.667,2.1,1.7,2.1
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Rybarikova M.,Pennetta F.,57,13,1058,3240,7,5,6,3,,,2,0,Completed,3.75,1.25,3.46,1.28,3.5,1.286,3.75,1.222,3.7,1.26
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Czink M.,Radwanska U.,100,127,690,514,4,2,,,,,0,0,Retired,1.61,2.2,1.65,2.15,1.667,2.1,1.727,2,1.67,2.15
3,Hobart,Moorilla Hobart International,1/13/2009,International,Outdoor,Hard,2nd Round,3,Pironkova T.,Govortsova O.,43,45,1216,1190,6,1,6,2,,,2,0,Completed,1.44,2.62,1.55,2.35,1.533,2.375,1.533,2.375,1.52,2.46
3,Hobart,Moorilla Hobart International,1/14/2009,International,Outdoor,Hard,Quarterfinals,3,Rybarikova M.,Czink M.,57,100,1058,690,6,0,1,6,7,6,2,1,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.615,2.2,1.64,2.2
3,Hobart,Moorilla Hobart International,1/14/2009,International,Outdoor,Hard,Quarterfinals,3,Benesova I.,Dulko G.,41,50,1340,1162,6,4,6,4,,,2,0,Completed,2.37,1.53,2.3,1.6,2.2,1.615,2.25,1.571,2.38,1.56
3,Hobart,Moorilla Hobart International,1/14/2009,International,Outdoor,Hard,Quarterfinals,3,Razzano V.,Pironkova T.,62,43,996,1216,6,4,6,1,,,2,0,Completed,2.25,1.57,2.05,1.75,2.2,1.615,2,1.727,2.15,1.67
3,Hobart,Moorilla Hobart International,1/14/2009,International,Outdoor,Hard,Quarterfinals,3,Kvitova P.,Pavlyuchenkova A.,49,42,1164,1260,1,6,7,5,6,3,2,1,Completed,1.66,2.1,1.7,2.08,1.833,1.833,1.667,2.2,1.75,2.03
3,Hobart,Moorilla Hobart International,1/15/2009,International,Outdoor,Hard,Semifinals,3,Benesova I.,Rybarikova M.,41,57,1340,1058,6,1,6,3,,,2,0,Completed,1.8,1.9,1.73,2.03,1.833,1.833,1.8,2,1.82,1.94
3,Hobart,Moorilla Hobart International,1/15/2009,International,Outdoor,Hard,Semifinals,3,Kvitova P.,Razzano V.,49,62,1164,996,6,4,6,2,,,2,0,Completed,1.8,1.9,1.9,1.85,1.72,2,1.8,2,1.84,1.92
3,Hobart,Moorilla Hobart International,1/16/2009,International,Outdoor,Hard,The Final,3,Kvitova P.,Benesova I.,49,41,1164,1340,7,5,6,1,,,2,0,Completed,1.57,2.25,1.7,2.05,1.667,2.1,1.727,2.1,1.7,2.1
4,Sydney,Medibank International,1/11/2009,Premier,Outdoor,Hard,1st Round,3,Kuznetsova S.,Peng S.,8,39,5072,1410,3,6,6,1,6,3,2,1,Completed,1.16,4.5,1.11,5.84,1.16,4.5,1.2,4,1.16,5
4,Sydney,Medibank International,1/11/2009,Premier,Outdoor,Hard,1st Round,3,Williams S.,Stosur S.,2,46,7732,1188,6,3,6,7,7,5,2,1,Completed,1.11,6,1.1,6.25,1.125,5.5,1.143,5,1.14,5.5
4,Sydney,Medibank International,1/11/2009,Premier,Outdoor,Hard,1st Round,3,Radwanska A.,Bammer S.,10,26,4472,2014,6,4,6,3,,,2,0,Completed,1.3,3.4,1.3,3.35,1.3,3.4,1.333,3,1.3,3.4
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Petrova N.,16,11,2982,3882,6,2,6,4,,,2,0,Completed,1.66,2.1,1.7,2.1,1.667,2.1,1.8,1.909,1.7,2.1
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Kleybanova A.,Kirilenko M.,32,30,1692,1820,6,2,6,2,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,1.909,1.8,1.75,2.03
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Wozniacki C.,Cibulkova D.,12,19,3330,2604,6,1,6,2,,,2,0,Completed,2,1.72,1.95,1.8,1.909,1.8,1.833,1.833,2.03,1.75
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Kanepi K.,Kerber A.,27,99,1904,696,6,1,7,5,,,2,0,Completed,1.4,2.75,1.45,2.6,1.4,2.75,1.4,2.875,1.45,2.7
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Dementieva E.,Makarova E.,4,47,7326,1186,7,5,6,1,,,2,0,Completed,1.1,6.5,1.1,6.75,1.1,6.5,1.05,8,1.11,6
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Gajdosova J.,Knapp K.,95,82,726,830,6,4,6,2,,,2,0,Completed,,,,,,,,,,
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Dushevina V.,Starr E.,86,412,772,102,6,0,6,1,,,2,0,Completed,1.08,7,1.1,6.75,1.083,7,1.125,5.5,1.09,7
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,South M.,Bartoli M.,110,17,610,2820,1,1,,,,,0,0,Retired,5,1.16,4.65,1.18,5,1.143,5,1.143,4.95,1.16
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Sugiyama A.,Craybas J.,29,65,1870,974,6,2,6,3,,,2,0,Completed,1.72,2,1.65,2.15,1.571,2.25,1.571,2.25,1.62,2.24
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Errani S.,Dellacqua C.,38,55,1442,1088,6,1,6,2,,,2,0,Completed,1.53,2.37,1.56,2.34,1.571,2.25,1.571,2.25,1.55,2.38
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Hantuchova D.,Zakopalova K.,21,72,2314,884,6,3,6,0,,,2,0,Completed,1.33,3.25,1.37,2.92,1.364,3,1.3,3.2,1.36,3.05
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Yakimova A.,23,101,2172,666,6,1,3,6,6,3,2,1,Completed,,,,,,,,,,
4,Sydney,Medibank International,1/12/2009,Premier,Outdoor,Hard,1st Round,3,Safina D.,Cirstea S.,3,36,7554,1506,6,2,6,1,,,2,0,Completed,1.11,6,1.13,5.5,1.125,5.5,,,1.12,5.85
4,Sydney,Medibank International,1/13/2009,Premier,Outdoor,Hard,2nd Round,3,Dementieva E.,Gajdosova J.,4,95,7326,726,6,2,6,4,,,2,0,Completed,1.08,7,1.11,5.81,1.1,6.5,1.071,7.5,1.09,7
4,Sydney,Medibank International,1/13/2009,Premier,Outdoor,Hard,2nd Round,3,Radwanska A.,Hantuchova D.,10,21,4472,2314,6,3,7,5,,,2,0,Completed,1.38,2.75,1.37,2.92,1.4,2.75,1.4,2.75,1.42,2.78
