WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2007,3,Outdoor,Hard,2nd Round,3,Garbin T.,Bremond S.,38,40,529.75,521,6,3,6,1,,,2,0,Completed,1.9,1.8,1.85,1.9,1.91,1.83,1.877,2.04,2,1.77
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2007,3,Outdoor,Hard,2nd Round,3,Vesnina E.,Srebotnik K.,47,23,445.25,819,6,3,6,2,,,2,0,Completed,2.5,1.5,2.5,1.5,2.65,1.45,2.92,1.472,2.4,1.55
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2007,3,Outdoor,Hard,2nd Round,3,Hingis M.,Pratt N.,7,77,2018,344.75,6,0,6,1,,,2,0,Completed,1.04,9,1.03,10.5,1.03,10,1.05,16,1.05,10
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2007,3,Outdoor,Hard,2nd Round,3,Peer S.,Poutchkova O.,20,39,894,525.25,6,3,6,2,,,2,0,Completed,1.28,3.25,1.28,3.5,1.28,3.46,1.325,3.78,1.3,3.35
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2007,3,Outdoor,Hard,2nd Round,3,Ivanovic A.,Sequera M.,14,103,1053,280.25,6,1,6,2,,,2,0,Completed,1.1,6,1.1,6.3,1.1,6.25,1.123,8.3,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2007,3,Outdoor,Hard,2nd Round,3,Safina D.,Kirilenko M.,11,30,1390,637,6,2,7,5,,,2,0,Completed,1.39,2.75,1.45,2.65,1.36,3,1.452,3.01,1.4,2.85
2,Gold Coast,Mondial Australian Women's Hardcourts,1/3/2007,3,Outdoor,Hard,2nd Round,3,Stosur S.,Ferguson S.,29,184,685,146.5,6,3,6,4,,,2,0,Completed,1.12,5.5,1.13,5.4,1.12,5.65,1.134,7.77,1.15,5.1
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2007,3,Outdoor,Hard,Quarterfinals,3,Garbin T.,Vesnina E.,38,47,529.75,445.25,7,5,6,2,,,2,0,Completed,2.37,1.53,2.4,1.53,2.5,1.5,2.63,1.578,2.37,1.55
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2007,3,Outdoor,Hard,Quarterfinals,3,Peer S.,Ivanovic A.,20,14,894,1053,5,7,6,4,6,4,2,1,Completed,2.37,1.53,2.5,1.5,2.5,1.5,2.47,1.637,2.32,1.58
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2007,3,Outdoor,Hard,Quarterfinals,3,Safina D.,Stosur S.,11,29,1390,685,7,6,6,3,,,2,0,Completed,1.53,2.37,1.53,2.4,1.55,2.35,1.61,2.54,1.56,2.35
2,Gold Coast,Mondial Australian Women's Hardcourts,1/4/2007,3,Outdoor,Hard,Quarterfinals,3,Hingis M.,Castano C.,7,54,2018,420.75,6,3,6,1,,,2,0,Completed,1.04,9,1.04,10,1.03,11,1.043,19,1.03,12
2,Gold Coast,Mondial Australian Women's Hardcourts,1/5/2007,3,Outdoor,Hard,Semifinals,3,Hingis M.,Garbin T.,7,38,2018,529.75,3,4,,,,,0,0,Retired,1.05,8,1.04,10,1.05,8.5,1.065,13.4,1.05,10
2,Gold Coast,Mondial Australian Women's Hardcourts,1/5/2007,3,Outdoor,Hard,Semifinals,3,Safina D.,Peer S.,11,20,1390,894,4,6,7,6,6,1,2,1,Completed,1.57,2.25,1.6,2.25,1.58,2.3,1.735,2.26,1.6,2.28
2,Gold Coast,Mondial Australian Women's Hardcourts,1/6/2007,3,Outdoor,Hard,The Final,3,Safina D.,Hingis M.,11,7,1390,2018,6,3,3,6,7,5,2,1,Completed,3,1.36,2.5,1.5,3,1.35,3.28,1.403,3.15,1.34
3,Hobart,Moorilla Hobart International,1/7/2007,4,Outdoor,Hard,1st Round,3,Chakvetadze A.,Dominguez Lino L.,13,51,1144,421.75,6,0,6,4,,,2,0,Completed,,,1.13,5.4,1.12,5.65,1.167,6.4,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Oprandi R.,Likhovtseva E.,52,44,421,451,7,6,6,1,,,2,0,Completed,,,2.9,1.38,,,2.86,1.485,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Castano C.,Vinci R.,46,83,449,331,6,3,6,4,,,2,0,Completed,2,1.72,2.2,1.63,,,2.5,1.625,2.1,1.7
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Bremond S.,Krajicek M.,38,37,537,542,3,6,6,1,6,0,2,1,Completed,2.62,1.44,2.65,1.45,2.8,1.4,2.93,1.469,2.65,1.45
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Santangelo M.,Camerin M.E.,30,50,611.5,426.5,7,5,2,6,6,3,2,1,Completed,1.57,2.25,1.53,2.4,,,1.571,2.65,1.65,2.18
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Mirza S.,Kirilenko M.,66,29,382,633,6,4,6,4,,,2,0,Completed,1.83,1.83,1.87,1.87,1.87,1.87,1.885,2.03,1.9,1.86
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Safarova L.,Muller M.,74,36,356,545,7,6,6,2,,,2,0,Completed,1.53,2.37,1.55,2.45,1.53,2.4,1.617,2.52,1.5,2.5
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,56,87,415.25,320,7,6,6,1,,,2,0,Completed,2,1.72,2.1,1.69,,,1.833,2.1,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Vesnina E.,28,42,684,469.75,6,1,6,3,,,2,0,Completed,1.72,2,1.8,1.95,1.75,2,2.06,1.862,1.82,1.94
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Molik A.,Kostanic J.,165,53,169.75,420.25,4,6,6,1,6,2,2,1,Completed,1.33,3,1.28,3.5,1.28,3.46,1.333,3.7,1.35,3.1
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Bondarenko A.,Moore J.,32,992,585.75,6.75,6,2,7,6,,,2,0,Completed,1.07,7,1.1,6.3,1.08,6.99,1.08,11,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Zheng J.,Foretz S.,34,111,560.75,266.25,6,2,6,2,,,2,0,Completed,,,,,,,1.481,2.88,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Bardina V.,Dulko G.,70,55,365.5,415.75,6,1,6,3,,,2,0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Nakamura A.,Pennetta F.,64,31,390,608,7,5,7,5,,,2,0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,1/8/2007,4,Outdoor,Hard,1st Round,3,Williams S.,Arvidsson S.,94,60,301,395.75,6,4,6,0,,,2,0,Completed,1.12,5,1.11,6,1.12,5.65,1.131,7.95,1.12,5.75
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,1st Round,3,Poutchkova O.,Obziler T.,39,123,533.75,237,0,6,6,2,7,6,2,1,Completed,1.57,2.25,1.65,2.15,,,1.633,2.48,,
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Zheng J.,Bremond S.,34,38,560.75,537,6,1,6,3,,,2,0,Completed,1.44,2.62,1.43,2.7,1.45,2.65,1.51,2.81,1.45,2.65
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Castano C.,Santangelo M.,46,30,449,611.5,6,3,6,2,,,2,0,Completed,2.1,1.66,2.1,1.69,2.12,1.67,2.38,1.676,2.15,1.67
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Bammer S.,Medina Garrigues A.,56,28,415.25,684,6,4,6,3,,,2,0,Completed,2.75,1.39,3.5,1.28,2.8,1.4,3.43,1.38,3,1.37
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Williams S.,Safarova L.,94,74,301,356,6,3,3,6,7,6,2,1,Completed,1.19,4,1.2,4.25,1.2,4.2,1.21,5.36,1.2,4.3
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Bardina V.,Nakamura A.,70,64,365.5,390,6,4,6,4,,,2,0,Completed,1.83,1.83,1.9,1.85,1.83,1.91,1.917,1.99,1.88,1.88
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Chakvetadze A.,Poutchkova O.,13,39,1144,533.75,7,6,7,5,,,2,0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Mirza S.,Oprandi R.,66,52,382,421,6,7,6,3,6,0,2,1,Completed,1.36,3,1.3,3.35,1.36,3,1.362,3.56,1.37,3
3,Hobart,Moorilla Hobart International,1/9/2007,4,Outdoor,Hard,2nd Round,3,Molik A.,Bondarenko A.,165,32,169.75,585.75,6,3,7,5,,,2,0,Completed,1.72,2,1.75,2,1.72,2.05,1.752,2.23,1.77,2
3,Hobart,Moorilla Hobart International,1/10/2007,4,Outdoor,Hard,Quarterfinals,3,Bardina V.,Castano C.,70,46,365.5,449,3,6,6,2,7,5,2,1,Completed,2.1,1.66,2.05,1.72,2,1.75,2.11,1.826,2,1.77
3,Hobart,Moorilla Hobart International,1/10/2007,4,Outdoor,Hard,Quarterfinals,3,Mirza S.,Molik A.,66,165,382,169.75,6,4,6,1,,,2,0,Completed,1.83,1.83,1.87,1.87,1.87,1.87,2.08,1.847,1.92,1.84
3,Hobart,Moorilla Hobart International,1/10/2007,4,Outdoor,Hard,Quarterfinals,3,Chakvetadze A.,Zheng J.,13,34,1144,560.75,4,6,6,1,6,1,2,1,Completed,1.39,2.75,1.45,2.65,1.45,2.65,1.403,3.28,1.43,2.72
3,Hobart,Moorilla Hobart International,1/10/2007,4,Outdoor,Hard,Quarterfinals,3,Bammer S.,Williams S.,56,94,415.25,301,3,6,7,5,6,3,2,1,Completed,5,1.14,4.85,1.16,4.25,1.2,5.25,1.215,4.2,1.21
3,Hobart,Moorilla Hobart International,1/11/2007,4,Outdoor,Hard,Semifinals,3,Bammer S.,Bardina V.,56,70,415.25,365.5,6,3,6,1,,,2,0,Completed,1.8,1.9,1.75,2,1.72,2.05,1.909,2,1.8,1.96
3,Hobart,Moorilla Hobart International,1/11/2007,4,Outdoor,Hard,Semifinals,3,Chakvetadze A.,Mirza S.,13,66,1144,382,6,4,6,1,,,2,0,Completed,1.39,2.75,1.4,2.8,1.36,3,1.408,3.25,1.4,2.85
3,Hobart,Moorilla Hobart International,1/12/2007,4,Outdoor,Hard,The Final,3,Chakvetadze A.,Bardina V.,13,70,1144,365.5,6,3,7,6,,,2,0,Completed,1.25,3.5,1.2,4.25,1.28,3.46,1.263,4.5,1.28,3.55
4,Sydney,Medibank International,1/7/2007,2,Outdoor,Hard,1st Round,3,Ivanovic A.,Dellacqua C.,14,159,1087,175.25,6,3,6,4,,,2,0,Completed,,,1.04,10,1.06,7.94,1.091,10,,
4,Sydney,Medibank International,1/7/2007,2,Outdoor,Hard,1st Round,3,Li N.,Schiavone F.,21,15,879.75,1032,6,4,7,5,,,2,0,Completed,,,2,1.75,,,2.2,1.769,,
4,Sydney,Medibank International,1/7/2007,2,Outdoor,Hard,1st Round,3,Peer S.,Groenefeld A.L.,18,19,934,922,6,4,6,2,,,2,0,Completed,,,1.25,3.7,1.28,3.46,1.373,3.48,1.3,3.4
4,Sydney,Medibank International,1/7/2007,2,Outdoor,Hard,1st Round,3,Vaidisova N.,Hantuchova D.,11,17,1391,968,6,1,6,4,,,2,0,Completed,,,1.45,2.65,1.5,2.5,1.552,2.71,1.54,2.4
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Stosur S.,Zvonareva V.,27,24,704,794,6,1,6,4,,,2,0,Completed,2.25,1.57,1.06,8,2.3,1.57,2.29,1.719,2.18,1.65
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Golovin T.,Peng S.,22,54,828,419,6,4,7,5,,,2,0,Completed,1.44,2.5,1.43,2.7,1.42,2.75,1.524,2.78,1.44,2.7
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Fedak Y.,Bartoli M.,82,20,338,881,7,6,6,2,,,2,0,Completed,3.25,1.3,3.35,1.3,3.46,1.28,4.04,1.299,3.8,1.25
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Schnyder P.,Dushevina V.,9,101,1578,288,6,3,4,6,6,3,2,1,Completed,1.22,3.75,1.25,3.7,1.28,3.46,1.301,4.02,1.28,3.5
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Srebotnik K.,Bovina E.,23,1323,825,3,6,3,6,1,,,2,0,Completed,1.19,4,1.17,4.65,,,1.224,5.06,1.2,4.3
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Jankovic J.,Hingis M.,12,7,1296,2063,6,4,4,6,6,3,2,1,Completed,1.83,1.83,1.3,3.35,1.87,1.87,1.901,2.01,1.88,1.88
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Dementieva E.,Sugiyama A.,8,26,1875,716,6,7,7,6,6,0,2,1,Completed,1.28,3.25,1.25,3.7,1.25,3.75,1.306,3.97,1.3,3.4
4,Sydney,Medibank International,1/8/2007,2,Outdoor,Hard,1st Round,3,Pratt N.,Safina D.,72,10,363.75,1475,4,6,6,3,6,2,2,1,Completed,7,1.07,8,1.07,7.94,1.06,10.72,1.085,7.2,1.08
4,Sydney,Medibank International,1/9/2007,2,Outdoor,Hard,2nd Round,3,Jankovic J.,Stosur S.,12,27,1296,704,6,2,7,6,,,2,0,Completed,1.44,2.62,1.6,2.25,1.45,2.65,1.571,2.65,1.46,2.62
4,Sydney,Medibank International,1/9/2007,2,Outdoor,Hard,2nd Round,3,Mauresmo A.,Golovin T.,3,22,3391,828,6,7,7,5,6,1,2,1,Completed,1.28,3.25,1.02,10,1.27,3.55,1.357,3.6,1.31,3.3
4,Sydney,Medibank International,1/9/2007,2,Outdoor,Hard,2nd Round,3,Peer S.,Schnyder P.,18,9,934,1578,7,6,6,2,,,2,0,Completed,2.1,1.66,2.05,1.72,2,1.75,2,1.909,1.96,1.8
4,Sydney,Medibank International,1/9/2007,2,Outdoor,Hard,2nd Round,3,Li N.,Dementieva E.,21,8,879.75,1875,3,6,6,1,7,5,2,1,Completed,2.75,1.39,2.5,1.5,2.65,1.45,2.9,1.476,2.55,1.48
4,Sydney,Medibank International,1/9/2007,2,Outdoor,Hard,2nd Round,3,Clijsters K.,Pratt N.,5,72,2215,363.75,6,1,6,2,,,2,0,Completed,1.04,8.5,1.01,13,1.03,11,1.05,16,1.03,12.5
