ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,1st Round,3,Gasquet R.,Di Pasquale A.,161,98,3,6,6,3,6,4,,,,,2,1,Completed,,,,,1.85,1.65,,,1.81,1.69
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,1st Round,3,Krajicek R.,Draper S.,112,137,7,6,6,4,,,,,,,2,0,Completed,1.444,2.625,,,1.45,2.2,,,1.33,2.7
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,1st Round,3,Squillari F.,Ferreira W.,79,39,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,,,2.1,1.5,,,2.4,1.4
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Ljubicic I.,81,49,4,6,6,4,7,6,,,,,2,1,Completed,2.375,1.533,,,2.1,1.5,,,2.15,1.5
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,2nd Round,3,Dupuis A.,Mirnyi M.,70,43,7,6,6,3,,,,,,,2,0,Completed,2.75,1.4,,,2.2,1.45,,,2.3,1.42
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,2nd Round,3,Voinea A.,Kim A.,68,238,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,1/1/03,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Verkerk M.,53,86,6,4,6,4,,,,,,,2,0,Completed,1.667,2.1,,,1.55,2,,,1.56,2
1,Adelaide,AAPT Championships,1/2/03,International,Outdoor,Hard,2nd Round,3,Krajicek R.,Squillari F.,112,79,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,1/2/03,International,Outdoor,Hard,2nd Round,3,Martin A.,Gasquet R.,61,161,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,,,1.45,2.2,,,1.42,2.3
1,Adelaide,AAPT Championships,1/2/03,International,Outdoor,Hard,2nd Round,3,Vahaly B.,Spadea V.,102,67,7,6,6,2,,,,,,,2,0,Completed,2.375,1.533,,,2.3,1.4,,,2.18,1.47
1,Adelaide,AAPT Championships,1/2/03,International,Outdoor,Hard,2nd Round,3,Vliegen K.,Parmar A.,164,170,6,2,6,2,,,,,,,2,0,Completed,1.909,1.8,,,1.9,1.6,,,1.75,1.75
1,Adelaide,AAPT Championships,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Zabaleta M.,81,53,7,6,6,1,,,,,,,2,0,Completed,1.8,1.909,,,1.85,1.65,,,1.83,1.68
1,Adelaide,AAPT Championships,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Krajicek R.,Vahaly B.,112,102,6,1,6,3,,,,,,,2,0,Completed,1.286,3.5,,,1.25,3,,,1.17,3.7
1,Adelaide,AAPT Championships,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Vliegen K.,Martin A.,164,61,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,,,2.2,1.45,,,2.5,1.36
1,Adelaide,AAPT Championships,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Dupuis A.,68,70,7,6,6,4,,,,,,,2,0,Completed,1.667,2.1,,,1.75,1.75,,,1.67,1.85
1,Adelaide,AAPT Championships,1/4/03,International,Outdoor,Hard,Semifinals,3,Davydenko N.,Voinea A.,81,68,6,2,6,1,,,,,,,2,0,Completed,1.727,2,,,1.65,1.85,,,1.65,1.9
1,Adelaide,AAPT Championships,1/4/03,International,Outdoor,Hard,Semifinals,3,Vliegen K.,Krajicek R.,164,112,7,6,4,6,6,3,,,,,2,1,Completed,3.75,1.25,,,2.7,1.3,,,3.3,1.22
1,Adelaide,AAPT Championships,1/5/03,International,Outdoor,Hard,The Final,3,Davydenko N.,Vliegen K.,81,164,6,2,7,6,,,,,,,2,0,Completed,1.571,2.25,,,1.6,1.9,,,1.5,2.17
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Chela J.I.,Paes L.,23,998,7,6,7,5,,,,,,,2,0,Completed,1.125,5.5,,,1.2,3.3,,,1.18,3.5
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Krajan Z.,Bopanna R.,108,405,6,4,7,6,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,Pless K.,105,82,6,2,7,5,,,,,,,2,0,Completed,2.5,1.5,,,2.3,1.4,,,2.9,1.28
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Portas A.,Golmard J.,88,99,1,1,,,,,,,,,0,0,Retired,2.5,1.5,,,2.2,1.45,,,2.85,1.3
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Sargsian S.,Varlet J.,103,162,6,1,7,5,,,,,,,2,0,Completed,,,,,1.55,2,,,1.5,2.15
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Schuettler R.,Knowle J.,33,121,6,4,6,1,,,,,,,2,0,Completed,1.222,3.75,,,1.25,3,,,1.13,4.25
2,Chennai,TATA Open,12/30/02,International,Outdoor,Hard,1st Round,3,Vanek J.,Amritraj P.,199,714,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Behrend T.,Pavel A.,155,26,6,3,6,3,,,,,,,2,0,Completed,3.25,1.286,,,2.7,1.3,,,3.7,1.17
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Canas G.,Norman D.,15,107,4,6,6,2,6,3,,,,,2,1,Completed,1.143,5,,,1.2,3.3,,,1.13,4.25
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Kucera K.,Gimelstob J.,83,106,3,6,7,6,6,3,,,,,2,1,Completed,1.4,2.75,,,1.45,2.2,,,1.36,2.5
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Mamiit C.,Burgsmuller L.,111,76,6,0,6,3,,,,,,,2,0,Completed,2.2,1.615,,,2,1.55,,,2.9,1.28
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Montanes A.,Llodra M.,78,104,7,6,1,6,6,3,,,,,2,1,Completed,2.5,1.5,,,2.2,1.45,,,2.6,1.35
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Okun N.,Balcells J.,128,109,7,5,6,4,,,,,,,2,0,Completed,,,,,1.85,1.65,,,1.8,1.7
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Kohlmann M.,80,165,7,6,6,3,,,,,,,2,0,Completed,1.333,3,,,1.4,2.3,,,1.29,2.86
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Srichaphan P.,Vacek J.,16,110,7,5,6,2,,,,,,,2,0,Completed,1.143,5,,,1.15,3.8,,,1.1,4.75
2,Chennai,TATA Open,12/31/02,International,Outdoor,Hard,1st Round,3,Van Lottum J.,Patience O.,115,222,6,2,7,6,,,,,,,2,0,Completed,1.615,2.2,,,1.55,2,,,1.48,2.17
2,Chennai,TATA Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Behrend T.,Portas A.,155,88,7,6,6,1,,,,,,,2,0,Completed,1.833,1.833,,,1.7,1.8,,,1.75,1.75
2,Chennai,TATA Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Krajan Z.,23,108,3,6,6,2,2,0,,,,,1,1,Retired,1.333,3.25,,,1.2,3.3,,,1.16,3.85
2,Chennai,TATA Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Sargsian S.,Montanes A.,103,78,6,3,6,3,,,,,,,2,0,Completed,1.667,2.1,,,1.5,2.1,,,1.52,2.07
2,Chennai,TATA Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Srichaphan P.,Van Lottum J.,16,115,6,2,6,4,,,,,,,2,0,Completed,1.143,5,,,1.2,3.3,,,1.09,4.7
2,Chennai,TATA Open,1/2/03,International,Outdoor,Hard,2nd Round,3,Canas G.,Vanek J.,15,199,6,4,6,2,,,,,,,2,0,Completed,1.222,4,,,1.2,3.3,,,1.11,4.5
2,Chennai,TATA Open,1/2/03,International,Outdoor,Hard,2nd Round,3,Kucera K.,Mamiit C.,83,111,7,6,3,6,6,3,,,,,2,1,Completed,1.571,2.25,,,1.6,1.9,,,1.54,2.06
2,Chennai,TATA Open,1/2/03,International,Outdoor,Hard,2nd Round,3,Lisnard J.R.,Okun N.,105,128,6,0,2,6,6,2,,,,,2,1,Completed,1.8,1.909,,,1.75,1.75,,,1.83,1.68
2,Chennai,TATA Open,1/2/03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Philippoussis M.,33,80,6,2,6,1,,,,,,,2,0,Completed,1.833,1.833,,,1.75,1.75,,,1.67,1.85
2,Chennai,TATA Open,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Chela J.I.,Behrend T.,23,155,6,4,6,3,,,,,,,2,0,Completed,1.333,3.25,,,1.35,2.5,,,1.27,3
2,Chennai,TATA Open,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Kucera K.,Canas G.,83,15,6,1,7,5,,,,,,,2,0,Completed,3.25,1.333,,,2.5,1.35,,,2.9,1.28
2,Chennai,TATA Open,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Lisnard J.R.,Schuettler R.,105,33,6,2,7,5,,,,,,,2,0,Completed,3.5,1.286,,,3,1.25,,,3.5,1.18
2,Chennai,TATA Open,1/3/03,International,Outdoor,Hard,Quarterfinals,3,Srichaphan P.,Sargsian S.,16,103,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,,,1.2,3.3,,,1.11,4.5
2,Chennai,TATA Open,1/4/03,International,Outdoor,Hard,Semifinals,3,Kucera K.,Chela J.I.,83,23,6,3,7,5,,,,,,,2,0,Completed,2.25,1.571,,,2.1,1.5,,,2.15,1.5
2,Chennai,TATA Open,1/4/03,International,Outdoor,Hard,Semifinals,3,Srichaphan P.,Lisnard J.R.,16,105,6,2,6,1,,,,,,,2,0,Completed,1.167,4.5,,,1.25,3,,,1.12,4.35
2,Chennai,TATA Open,1/5/03,International,Outdoor,Hard,The Final,3,Srichaphan P.,Kucera K.,16,83,6,2,6,1,,,,,,,2,0,Completed,1.333,3.25,,,1.35,2.5,,,1.2,3.45
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Arazi H.,Prinosil D.,90,229,6,2,6,3,,,,,,,2,0,Completed,,,,,1.4,2.3,,,1.47,2.18
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Boutter J.,22,77,6,4,6,4,,,,,,,2,0,Completed,1.533,2.375,,,1.45,2.2,,,1.36,2.5
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Hantschek M.,Carlsen K.,312,65,7,6,6,1,,,,,,,2,0,Completed,,,,,2.7,1.3,,,3.7,1.17
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Rochus C.,Allegro Y.,143,232,6,3,6,2,,,,,,,2,0,Completed,,,,,1.5,2.1,,,1.47,2.18
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Stepanek R.,Lopez F.,63,191,6,7,6,3,6,2,,,,,2,1,Completed,1.727,2,,,1.8,1.7,,,1.75,1.75
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Alami K.,180,479,2,6,6,4,6,1,,,,,2,1,Completed,,,,,1.3,2.7,,,1.25,3.1
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Voltchkov V.,Lee H.T.,73,87,6,4,3,6,7,5,,,,,2,1,Completed,1.615,2.2,,,1.6,1.9,,,1.62,1.93
3,Doha,Qatar Exxon Mobil Open,12/30/02,International,Outdoor,Hard,1st Round,3,Youzhny M.,Sanchez D.,32,60,4,6,6,4,6,4,,,,,2,1,Completed,1.286,3.25,,,1.4,2.3,,,1.28,2.9
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Costa A.,Gaudenzi A.,9,120,6,3,6,3,,,,,,,2,0,Completed,1.286,3.25,,,1.3,2.7,,,1.22,3.3
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Federer R.,Stoliarov A.,6,139,6,2,6,7,6,4,,,,,2,1,Completed,1.143,5,,,1.1,4.5,,,1.06,5.6
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Ferrer D.,Sluiter R.,59,71,6,3,6,7,6,4,,,,,2,1,Completed,2.375,1.533,,,2,1.55,,,1.97,1.58
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Heuberger I.,42,127,6,1,7,5,,,,,,,2,0,Completed,1.364,3,,,1.3,2.7,,,1.21,3.35
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Koubek S.,Escude N.,54,34,7,6,6,2,,,,,,,2,0,Completed,2.875,1.364,,,2.2,1.45,,,2.75,1.32
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Kratochvil M.,Khalfan S.,69,171,6,0,6,4,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Santoro F.,Mantilla F.,35,55,6,3,6,3,,,,,,,2,0,Completed,1.571,2.25,,,1.65,1.85,,,1.66,1.88
3,Doha,Qatar Exxon Mobil Open,12/31/02,International,Outdoor,Hard,1st Round,3,Vicente F.,Kafelnikov Y.,58,27,6,2,7,5,,,,,,,2,0,Completed,2.625,1.444,,,2,1.55,,,2.6,1.35
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,El Aynaoui Y.,Arazi H.,22,90,6,4,7,6,,,,,,,2,0,Completed,1.444,2.625,,,1.45,2.2,,,1.37,2.45
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Federer R.,Kratochvil M.,6,69,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,,,1.3,2.7,,,1.16,3.85
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Ferrer D.,42,59,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,,,1.4,2.3,,,1.33,2.7
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Koubek S.,Voltchkov V.,54,73,6,1,6,1,,,,,,,2,0,Completed,1.615,2.2,,,1.6,1.9,,,1.65,1.9
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Santoro F.,Rochus C.,35,143,7,5,6,7,7,5,,,,,2,1,Completed,1.444,2.625,,,1.3,2.7,,,1.26,3.05
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Vicente F.,Hantschek M.,58,312,7,5,7,6,,,,,,,2,0,Completed,,,,,1.45,2.2,,,1.37,2.45
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Vinciguerra A.,Costa A.,180,9,3,6,7,6,7,5,,,,,2,1,Completed,,,,,2.7,1.3,,,3,1.27
3,Doha,Qatar Exxon Mobil Open,1/1/03,International,Outdoor,Hard,2nd Round,3,Youzhny M.,Stepanek R.,32,63,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,,,1.5,2.1,,,1.43,2.27
3,Doha,Qatar Exxon Mobil Open,1/2/03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Santoro F.,22,35,3,6,6,3,6,3,,,,,2,1,Completed,1.615,2.2,,,1.45,2.2,,,1.34,2.65
3,Doha,Qatar Exxon Mobil Open,1/2/03,International,Outdoor,Hard,Quarterfinals,3,Gambill J.M.,Federer R.,42,6,6,4,7,5,,,,,,,2,0,Completed,3.5,1.286,,,2.5,1.35,,,3.5,1.18
3,Doha,Qatar Exxon Mobil Open,1/2/03,International,Outdoor,Hard,Quarterfinals,3,Koubek S.,Vinciguerra A.,54,180,6,3,6,4,,,,,,,2,0,Completed,1.667,2.1,,,1.55,2,,,1.62,1.93
3,Doha,Qatar Exxon Mobil Open,1/2/03,International,Outdoor,Hard,Quarterfinals,3,Youzhny M.,Vicente F.,32,58,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,,,1.4,2.3,,,1.3,2.85
3,Doha,Qatar Exxon Mobil Open,1/3/03,International,Outdoor,Hard,Semifinals,3,Gambill J.M.,Youzhny M.,42,32,6,4,6,2,,,,,,,2,0,Completed,1.833,1.833,,,1.8,1.7,,,1.66,1.88
3,Doha,Qatar Exxon Mobil Open,1/3/03,International,Outdoor,Hard,Semifinals,3,Koubek S.,El Aynaoui Y.,54,22,7,6,7,6,,,,,,,2,0,Completed,2.5,1.5,,,2,1.55,,,2.6,1.35
3,Doha,Qatar Exxon Mobil Open,1/4/03,International,Outdoor,Hard,The Final,3,Koubek S.,Gambill J.M.,54,42,6,4,6,4,,,,,,,2,0,Completed,2.25,1.571,,,2,1.55,,,2.3,1.42
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Carlsen K.,Sa A.,64,65,6,7,7,5,6,4,,,,,2,1,Completed,1.727,2,,,1.65,1.85,,,1.75,1.75
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Coria G.,Sanchez D.,45,60,2,6,6,2,6,4,,,,,2,1,Completed,1.444,2.625,,,1.5,2.1,,,1.45,2.25
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Ferrer D.,Martin A.,58,66,6,3,6,2,,,,,,,2,0,Completed,2.2,1.615,,,1.9,1.6,,,2.05,1.55
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Rea S.,51,983,6,4,6,2,,,,,,,2,0,Completed,,,,,1.1,4.5,,,1.09,4.75
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Mantilla F.,Acasuso J.,77,43,6,3,7,5,,,,,,,2,0,Completed,1.571,2.25,,,1.55,2,,,1.41,2.35
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Russell M.,Stepanek R.,159,68,7,6,6,4,,,,,,,2,0,Completed,2.5,1.5,,,2,1.55,,,2.15,1.5
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Spadea V.,Dupuis A.,67,69,6,3,6,4,,,,,,,2,0,Completed,,,,,1.75,1.75,,,1.75,1.75
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Vicente F.,Horna L.,57,87,4,6,7,6,6,2,,,,,2,1,Completed,1.444,2.625,,,1.3,2.7,,,1.37,2.45
4,Auckland,Heineken Open,1/6/03,International,Outdoor,Hard,1st Round,3,Zabaleta M.,Nalbandian D.,48,12,2,6,7,6,6,3,,,,,2,1,Completed,2.25,1.571,,,1.9,1.6,,,2.15,1.5
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Kratochvil M.,33,70,6,1,6,3,,,,,,,2,0,Completed,1.364,2.875,,,1.4,2.3,,,1.38,2.42
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Ginepri R.,Calleri A.,102,50,7,6,7,5,,,,,,,2,0,Completed,2.1,1.667,,,1.8,1.7,,,1.98,1.57
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Gonzalez F.,Lopez F.,17,62,3,6,7,6,6,2,,,,,2,1,Completed,1.364,2.875,,,1.3,2.7,,,1.22,3.3
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Koubek S.,Nielsen M.,40,302,6,3,6,2,,,,,,,2,0,Completed,1.143,5,,,1.2,3.3,,,1.12,4.35
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Kuerten G.,Verkerk M.,37,84,7,6,6,4,,,,,,,2,0,Completed,1.333,3,,,1.3,2.7,,,1.22,3.3
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Novak J.,Kendrick R.,7,176,6,2,6,3,,,,,,,2,0,Completed,1.125,5.5,,,1.15,3.8,,,1.11,4.5
4,Auckland,Heineken Open,1/7/03,International,Outdoor,Hard,1st Round,3,Sluiter R.,Sanguinetti D.,72,47,6,3,6,3,,,,,,,2,0,Completed,1.909,1.8,,,1.85,1.65,,,1.92,1.63
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Coria G.,Vicente F.,45,57,6,2,6,2,,,,,,,2,0,Completed,1.571,2.25,,,1.5,2.1,,,1.5,2.15
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Ferrer D.,Gonzalez F.,58,17,6,4,6,3,,,,,,,2,0,Completed,3,1.364,,,2.5,1.35,,,2.75,1.32
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Hrbaty D.,Gambill J.M.,51,33,6,3,6,7,7,6,,,,,2,1,Completed,2.625,1.444,,,2.3,1.4,,,2.6,1.35
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Mantilla F.,Carlsen K.,77,64,6,4,6,4,,,,,,,2,0,Completed,1.727,2,,,1.6,1.9,,,1.55,2.05
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Novak J.,Ginepri R.,7,102,1,6,7,6,6,3,,,,,2,1,Completed,1.2,4.333,,,1.15,3.8,,,1.15,4
4,Auckland,Heineken Open,1/8/03,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Spadea V.,48,67,6,4,6,3,,,,,,,2,0,Completed,1.727,2,,,1.65,1.85,,,1.55,2.05
4,Auckland,Heineken Open,1/9/03,International,Outdoor,Hard,2nd Round,3,Koubek S.,Sluiter R.,40,72,6,3,3,6,6,1,,,,,2,1,Completed,1.5,2.5,,,1.5,2.1,,,1.37,2.45
4,Auckland,Heineken Open,1/9/03,International,Outdoor,Hard,2nd Round,3,Kuerten G.,Russell M.,37,159,4,6,6,4,6,2,,,,,2,1,Completed,1.25,3.75,,,1.2,3.3,,,1.16,3.85
4,Auckland,Heineken Open,1/10/03,International,Outdoor,Hard,Quarterfinals,3,Hrbaty D.,Ferrer D.,51,58,7,5,6,3,,,,,,,2,0,Completed,1.727,2,,,1.6,1.9,,,1.7,1.8
4,Auckland,Heineken Open,1/10/03,International,Outdoor,Hard,Quarterfinals,3,Kuerten G.,Coria G.,37,45,7,5,4,6,6,2,,,,,2,1,Completed,1.571,2.25,,,1.5,2.1,,,1.5,2.15
4,Auckland,Heineken Open,1/10/03,International,Outdoor,Hard,Quarterfinals,3,Mantilla F.,Novak J.,77,7,6,7,6,2,7,6,,,,,2,1,Completed,2.75,1.4,,,2.5,1.35,,,3,1.27
4,Auckland,Heineken Open,1/10/03,International,Outdoor,Hard,Quarterfinals,3,Zabaleta M.,Koubek S.,48,40,6,2,6,1,,,,,,,2,0,Completed,2.2,1.615,,,2,1.55,,,2,1.56
4,Auckland,Heineken Open,1/11/03,International,Outdoor,Hard,Semifinals,3,Hrbaty D.,Mantilla F.,51,77,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
4,Auckland,Heineken Open,1/11/03,International,Outdoor,Hard,Semifinals,3,Kuerten G.,Zabaleta M.,37,48,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
4,Auckland,Heineken Open,1/12/03,International,Outdoor,Hard,The Final,3,Kuerten G.,Hrbaty D.,37,51,6,3,7,5,,,,,,,2,0,Completed,1.533,2.375,,,1.55,2,,,1.5,2.15
5,Sydney,adidas International,1/6/03,International,Outdoor,Hard,1st Round,3,Ferreira W.,Enqvist T.,41,46,6,2,6,4,,,,,,,2,0,Completed,1.833,1.833,,,1.8,1.7,,,1.8,1.7
5,Sydney,adidas International,1/6/03,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Crabb J.,4,217,5,7,7,5,6,3,,,,,2,1,Completed,,,,,,,,,,
